time,status,attention,faces,yawns
2025-12-21T18:41:00.935858,Not Present ❌,59,0,0
2025-12-21T18:41:00.947045,Not Present ❌,59,0,0
2025-12-21T18:41:01.001932,Not Present ❌,59,0,0
2025-12-21T18:41:01.021319,Not Present ❌,59,0,0
2025-12-21T18:41:01.081886,Not Present ❌,59,0,0
2025-12-21T18:41:01.103109,Not Present ❌,59,0,0
2025-12-21T18:41:01.145507,Not Present ❌,59,0,0
2025-12-21T18:41:01.169475,Not Present ❌,59,0,0
2025-12-21T18:41:01.209589,Not Present ❌,59,0,0
2025-12-21T18:41:01.233912,Not Present ❌,59,0,0
2025-12-21T18:41:01.271468,Not Present ❌,59,0,0
2025-12-21T18:41:01.290747,Not Present ❌,59,0,0
2025-12-21T18:41:01.344427,Not Present ❌,59,0,0
2025-12-21T18:41:01.364642,Not Present ❌,59,0,0
2025-12-21T18:41:01.415652,Not Present ❌,59,0,0
2025-12-21T18:41:01.440906,Not Present ❌,59,0,0
2025-12-21T18:41:01.479890,Not Present ❌,59,0,0
2025-12-21T18:41:01.498942,Not Present ❌,59,0,0
2025-12-21T18:41:01.548598,Not Present ❌,59,0,0
2025-12-21T18:41:01.573833,Not Present ❌,59,0,0
2025-12-21T18:41:01.612818,Not Present ❌,59,0,0
2025-12-21T18:41:01.631272,Not Present ❌,59,0,0
2025-12-21T18:41:01.677980,Not Present ❌,59,0,0
2025-12-21T18:41:01.690480,Not Present ❌,59,0,0
2025-12-21T18:41:01.741335,Not Present ❌,59,0,0
2025-12-21T18:41:01.760218,Not Present ❌,59,0,0
2025-12-21T18:41:01.817070,Not Present ❌,59,0,0
2025-12-21T18:41:01.836125,Not Present ❌,59,0,0
2025-12-21T18:41:01.880166,Not Present ❌,59,0,0
2025-12-21T18:41:01.896911,Not Present ❌,59,0,0
2025-12-21T18:41:01.949697,Not Present ❌,59,0,0
2025-12-21T18:41:01.964014,Not Present ❌,59,0,0
2025-12-21T18:41:02.011391,Not Present ❌,59,0,0
2025-12-21T18:41:02.029712,Not Present ❌,59,0,0
2025-12-21T18:41:02.073292,Not Present ❌,59,0,0
2025-12-21T18:41:02.091551,Not Present ❌,59,0,0
2025-12-21T18:41:02.141155,Not Present ❌,59,0,0
2025-12-21T18:41:02.160708,Not Present ❌,59,0,0
2025-12-21T18:41:02.226989,Not Present ❌,59,0,0
2025-12-21T18:41:02.239951,Not Present ❌,59,0,0
2025-12-21T18:41:02.281273,Not Present ❌,59,0,0
2025-12-21T18:41:02.302391,Not Present ❌,59,0,0
2025-12-21T18:41:02.349025,Not Present ❌,59,0,0
2025-12-21T18:41:02.361905,Not Present ❌,59,0,0
2025-12-21T18:41:02.409333,Not Present ❌,59,0,0
2025-12-21T18:41:02.423605,Not Present ❌,59,0,0
2025-12-21T18:41:02.475210,Not Present ❌,59,0,0
2025-12-21T18:41:02.498891,Not Present ❌,59,0,0
2025-12-21T18:41:02.557153,Not Present ❌,59,0,0
2025-12-21T18:41:02.572848,Not Present ❌,59,0,0
2025-12-21T18:41:02.616732,Not Present ❌,59,0,0
2025-12-21T18:41:02.636434,Not Present ❌,59,0,0
2025-12-21T18:41:02.685421,Not Present ❌,59,0,0
2025-12-21T18:41:02.697191,Not Present ❌,59,0,0
2025-12-21T18:41:02.744411,Not Present ❌,59,0,0
2025-12-21T18:41:02.763408,Not Present ❌,59,0,0
2025-12-21T18:41:02.806625,Not Present ❌,59,0,0
2025-12-21T18:41:02.824471,Not Present ❌,59,0,0
2025-12-21T18:41:02.880981,Not Present ❌,59,0,0
2025-12-21T18:41:02.893756,Not Present ❌,59,0,0
2025-12-21T18:41:02.954569,Not Present ❌,59,0,0
2025-12-21T18:41:02.973897,Not Present ❌,59,0,0
2025-12-21T18:41:03.020585,Not Present ❌,59,0,0
2025-12-21T18:41:03.034787,Not Present ❌,59,0,0
2025-12-21T18:41:03.082054,Not Present ❌,59,0,0
2025-12-21T18:41:03.099937,Not Present ❌,59,0,0
2025-12-21T18:41:03.145128,Not Present ❌,59,0,0
2025-12-21T18:41:03.163773,Not Present ❌,59,0,0
2025-12-21T18:41:03.216222,Not Present ❌,59,0,0
2025-12-21T18:41:03.233411,Not Present ❌,59,0,0
2025-12-21T18:41:03.284673,Active,59,1,0
2025-12-21T18:41:03.323676,Active,59,1,0
2025-12-21T18:41:03.367655,Drowsy 😴,58,1,0
2025-12-21T18:41:03.402533,Drowsy 😴,58,1,0
2025-12-21T18:41:03.435721,Drowsy 😴,58,1,0
2025-12-21T18:41:03.456440,Drowsy 😴,58,1,0
2025-12-21T18:41:03.476331,Drowsy 😴,58,1,0
2025-12-21T18:41:03.501412,Drowsy 😴,58,1,0
2025-12-21T18:41:03.540120,Drowsy 😴,58,1,0
2025-12-21T18:41:03.558614,Drowsy 😴,58,1,0
2025-12-21T18:41:03.604652,Drowsy 😴,58,1,0
2025-12-21T18:41:03.630927,Drowsy 😴,57,1,0
2025-12-21T18:41:03.687858,Drowsy 😴,57,1,0
2025-12-21T18:41:03.708724,Drowsy 😴,57,1,0
2025-12-21T18:41:03.748774,Drowsy 😴,57,1,0
2025-12-21T18:41:03.766200,Drowsy 😴,57,1,0
2025-12-21T18:41:03.812627,Drowsy 😴,57,1,0
2025-12-21T18:41:03.830019,Drowsy 😴,57,1,0
2025-12-21T18:41:03.876372,Drowsy 😴,57,1,0
2025-12-21T18:41:03.899954,Drowsy 😴,57,1,0
2025-12-21T18:41:03.941348,Drowsy 😴,57,1,0
2025-12-21T18:41:03.959496,Drowsy 😴,56,1,0
2025-12-21T18:41:04.011771,Drowsy 😴,56,1,0
2025-12-21T18:41:04.023060,Drowsy 😴,56,1,0
2025-12-21T18:41:04.084791,Drowsy 😴,56,1,0
2025-12-21T18:41:04.103290,Drowsy 😴,56,1,0
2025-12-21T18:41:04.154456,Drowsy 😴,56,1,0
2025-12-21T18:41:04.166557,Drowsy 😴,56,1,0
2025-12-21T18:41:04.233175,Drowsy 😴,56,1,0
2025-12-21T18:41:04.246612,Drowsy 😴,56,1,0
2025-12-21T18:41:04.276740,Drowsy 😴,56,1,0
2025-12-21T18:41:04.300512,Drowsy 😴,56,1,0
2025-12-21T18:41:04.347886,Drowsy 😴,56,1,0
2025-12-21T18:41:04.359983,Drowsy 😴,56,1,0
2025-12-21T18:41:04.428159,Drowsy 😴,55,1,0
2025-12-21T18:41:04.439184,Drowsy 😴,55,1,0
2025-12-21T18:41:04.485709,Drowsy 😴,55,1,0
2025-12-21T18:41:04.506873,Drowsy 😴,55,1,0
2025-12-21T18:41:04.548390,Drowsy 😴,55,1,0
2025-12-21T18:41:04.567631,Drowsy 😴,55,1,0
2025-12-21T18:41:04.613736,Drowsy 😴,55,1,0
2025-12-21T18:41:04.632452,Drowsy 😴,55,1,0
2025-12-21T18:41:04.679577,Drowsy 😴,55,1,0
2025-12-21T18:41:04.702350,Drowsy 😴,55,1,0
2025-12-21T18:41:04.742413,Drowsy 😴,55,1,0
2025-12-21T18:41:04.761141,Drowsy 😴,54,1,0
2025-12-21T18:41:04.827402,Drowsy 😴,54,1,0
2025-12-21T18:41:04.838141,Drowsy 😴,54,1,0
2025-12-21T18:41:04.885288,Drowsy 😴,54,1,0
2025-12-21T18:41:04.907359,Drowsy 😴,54,1,0
2025-12-21T18:41:04.949071,Drowsy 😴,54,1,0
2025-12-21T18:41:04.973341,Drowsy 😴,54,1,0
2025-12-21T18:41:05.021929,Drowsy 😴,54,1,0
2025-12-21T18:41:05.032117,Drowsy 😴,54,1,0
2025-12-21T18:41:05.084181,Drowsy 😴,54,1,0
2025-12-21T18:41:05.094148,Drowsy 😴,54,1,0
2025-12-21T18:41:05.141232,Drowsy 😴,53,1,0
2025-12-21T18:41:05.165954,Drowsy 😴,53,1,0
2025-12-21T18:41:05.220787,Drowsy 😴,53,1,0
2025-12-21T18:41:05.239734,Drowsy 😴,53,1,0
2025-12-21T18:41:05.292345,Drowsy 😴,53,1,0
2025-12-21T18:41:05.303137,Drowsy 😴,53,1,0
2025-12-21T18:41:05.349509,Drowsy 😴,53,1,0
2025-12-21T18:41:05.367354,Drowsy 😴,53,1,0
2025-12-21T18:41:05.413770,Drowsy 😴,53,1,0
2025-12-21T18:41:05.438213,Drowsy 😴,53,1,0
2025-12-21T18:41:05.491858,Drowsy 😴,53,1,0
2025-12-21T18:41:05.509074,Drowsy 😴,53,1,0
2025-12-21T18:41:05.563165,Drowsy 😴,52,1,0
2025-12-21T18:41:05.604541,Drowsy 😴,52,1,0
2025-12-21T18:41:05.621403,Drowsy 😴,52,1,0
2025-12-21T18:41:05.643085,Drowsy 😴,52,1,0
2025-12-21T18:41:05.689190,Drowsy 😴,52,1,0
2025-12-21T18:41:05.714667,Drowsy 😴,52,1,0
2025-12-21T18:41:05.761218,Drowsy 😴,52,1,0
2025-12-21T18:41:05.785496,Drowsy 😴,52,1,0
2025-12-21T18:41:05.820543,Drowsy 😴,52,1,0
2025-12-21T18:41:05.871376,Drowsy 😴,52,1,0
2025-12-21T18:41:05.911193,Drowsy 😴,52,1,0
2025-12-21T18:41:05.941475,Drowsy 😴,52,1,0
2025-12-21T18:41:05.974842,Drowsy 😴,51,1,0
2025-12-21T18:41:05.996898,Drowsy 😴,51,1,0
2025-12-21T18:41:06.023090,Drowsy 😴,51,1,0
2025-12-21T18:41:06.074025,Drowsy 😴,51,1,0
2025-12-21T18:41:06.093361,Drowsy 😴,51,1,0
2025-12-21T18:41:06.142858,Drowsy 😴,52,1,0
2025-12-21T18:41:06.180473,Drowsy 😴,51,1,0
2025-12-21T18:41:06.198220,Drowsy 😴,51,1,0
2025-12-21T18:41:06.248287,Drowsy 😴,51,1,0
2025-12-21T18:41:06.279712,Drowsy 😴,51,1,0
2025-12-21T18:41:06.314947,Drowsy 😴,51,1,0
2025-12-21T18:41:06.335069,Drowsy 😴,51,1,0
2025-12-21T18:41:06.392045,Drowsy 😴,51,1,0
2025-12-21T18:41:06.426523,Drowsy 😴,51,1,0
2025-12-21T18:41:06.444904,Drowsy 😴,51,1,0
2025-12-21T18:41:06.495707,Drowsy 😴,51,1,0
2025-12-21T18:41:06.528288,Drowsy 😴,52,1,0
2025-12-21T18:41:06.563327,Drowsy 😴,52,1,0
2025-12-21T18:41:06.582437,Drowsy 😴,52,1,0
2025-12-21T18:41:06.632762,Drowsy 😴,52,1,0
2025-12-21T18:41:06.667450,Drowsy 😴,52,1,0
2025-12-21T18:41:06.702114,Drowsy 😴,52,1,0
2025-12-21T18:41:06.736924,Drowsy 😴,52,1,0
2025-12-21T18:41:06.771023,Drowsy 😴,52,1,0
2025-12-21T18:41:06.790194,Drowsy 😴,52,1,0
2025-12-21T18:41:06.836829,Drowsy 😴,52,1,0
2025-12-21T18:41:06.875267,Drowsy 😴,52,1,0
2025-12-21T18:41:06.908414,Drowsy 😴,52,1,0
2025-12-21T18:41:06.939878,Drowsy 😴,52,1,0
2025-12-21T18:41:06.962212,Drowsy 😴,52,1,0
2025-12-21T18:41:06.997106,Drowsy 😴,52,1,0
2025-12-21T18:41:07.046557,Drowsy 😴,52,1,0
2025-12-21T18:41:07.119384,Drowsy 😴,52,1,0
2025-12-21T18:41:07.138478,Drowsy 😴,52,1,0
2025-12-21T18:41:07.159729,Drowsy 😴,52,1,0
